Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule (5),0.3286579,21,16,1,236.5509,1
56


Capsule (2),0.0408843,18,15,1,226.2696,0
Capsule (6),0.4609533,17,13,1,226.2696,0
Capsule,0.2878582,20,18,1,226.2696,0
Capsule (7),0.0784561,15,21,0,226.2696,0
Capsule (3),6.043489,17,20,0,226.2696,1
Capsule (4),0.0506989,23,20,1,226.2696,1
Capsule (1),0.0524837,11,16,0,226.2696,1
Capsule (5),0.9903818,24,22,1,226.2696,1
57


Capsule (2),0.1959334,24,20,1,230.7979,0
Capsule (6),0.6517743,17,12,1,230.7979,0
Capsule,0.3428914,16,19,0,230.7979,0
Capsule (7),0.0803414,18,13,1,230.7979,0
Capsule (3),2.194375,23,13,1,230.7979,1
Capsule (4),0.0663421,16,17,0,230.7979,1
Capsule (1),0.228149,19,26,0,230.7979,1
Capsule (5),1.75453,13,26,0,230.7979,1
58


Capsule (2),0.0366419,14,15,0,196.0169,0
Capsule (6),1.969078,18,20,0,196.0169,0
Capsule,1.541573,22,12,1,196.0169,0
Capsule (7),1.215456,21,14,1,196.0169,0
Capsule (3),0.3588924,13,17,0,196.0169,1
Capsule (4),3.476489,16,18,0,196.0169,1
Capsule (1),2.265373,13,19,0,196.0169,1
Capsule (5),1.907665,12,14,0,196.0169,1
59


Capsule (2),0.0368696,20,24,0,230.3263,0
Capsule (6),2.140716,16,21,0,230.3263,0
Capsule,0.2948893,16,25,0,230.3263,0
Capsule (7),0.3917014,20,23,0,230.3263,0
Capsule (3),1.445565,21,14,1,230.3263,1
Capsule (4),0.3086116,18,14,1,230.3263,1
Capsule (1),0.2263645,16,15,1,230.3263,1
Capsule (5),2.859664,20,11,1,230.3263,1
60


Capsule (2),1.444405,13,21,0,205.3544,0
Capsule (6),0.2909234,25,15,1,205.3544,0
Capsule,0.1307072,17,17,1,205.3544,0
Capsule (7),4.238243,20,15,1,205.3544,0
Capsule (3),2.57195,15,17,0,205.3544,1
Capsule (4),2.104443,12,17,0,205.3544,1
Capsule (1),0.6237804,18,15,1,205.3544,1
Capsule (5),0.063184,10,13,0,205.3544,1
61


Capsule (2),0.3632016,19,17,1,217.1874,0
Capsule (6),2.893557,23,21,1,217.1874,0
Capsule,0.3091682,14,20,0,217.1874,0
Capsule (7),0.8263326,16,20,0,217.1874,0
Capsule (3),0.0280681,14,18,0,217.1874,1
Capsule (4),0.0280681,20,22,0,217.1874,1
Capsule (1),0.8341457,20,14,1,217.1874,1
Capsule (5),0.0630492,21,15,1,217.1874,1
62


Capsule (2),2.364699,15,16,0,210.2237,0
Capsule (6),2.59221,13,14,0,210.2237,0
Capsule,1.937593,22,17,1,210.2237,0
Capsule (7),0.1395762,9,16,0,210.2237,0
Capsule (3),1.062396,16,18,0,210.2237,1
Capsule (4),1.020595,16,21,0,210.2237,1
Capsule (1),0.3766978,20,15,1,210.2237,1
Capsule (5),0.0666164,23,17,1,210.2237,1
63


Capsule (2),0.0637308,14,16,0,189.3034,0
Capsule (6),0.0642654,13,23,0,189.3034,0
Capsule,1.254809,22,13,1,189.3034,0
Capsule (7),1.906366,13,18,0,189.3034,0
Capsule (3),0.0508259,28,12,2,189.3034,1
Capsule (4),0.0663859,18,20,0,189.3034,1
Capsule (1),0.2615884,14,17,0,189.3034,1
Capsule (5),2.36364,15,18,0,189.3034,1
64


Capsule (2),1.83419,12,19,0,217.5471,0
Capsule (6),0.0822194,17,22,0,217.5471,0
Capsule,2.329196,18,15,1,217.5471,0
Capsule (7),3.182651,21,17,1,217.5471,0
Capsule (3),0.3639211,23,14,1,217.5471,1
Capsule (4),0.3310161,10,21,0,217.5471,1
Capsule (1),0.0469983,24,17,1,217.5471,1
Capsule (5),1.480242,18,18,1,217.5471,1
65


Capsule (2),0.0665165,22,20,1,205.3041,0
Capsule (6),1.682843,12,20,0,205.3041,0
Capsule,0.131845,13,25,0,205.3041,0
Capsule (7),1.708438,25,14,1,205.3041,0
Capsule (3),1.924231,16,18,0,205.3041,1
Capsule (4),0.0651739,18,18,1,205.3041,1
Capsule (1),0.058855,16,13,1,205.3041,1
Capsule (5),0.2951413,25,19,1,205.3041,1
66


Capsule (2),0.134191,11,14,0,167.6986,0
Capsule (6),1.990958,7,17,0,167.6986,0
Capsule,0.0667368,11,16,0,167.6986,0
Capsule (7),0.0654583,15,10,1,167.6986,0
Capsule (3),0.7915614,27,13,2,167.6986,1
Capsule (4),0.3282067,12,17,0,167.6986,1
