Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime, Team
Capsule (5),0.8104782,12,16,0,181.4222,1
Capsule (6),1.966017,21,15,1,181.4222,1
Capsule,0.0087755,21,18,1,181.4222,1
Capsule (4),0.0088005,21,21,1,181.4222,1
56


Capsule (7),0.0061801,18,12,1,182.6532,0
Capsule (3),1.270338,24,13,1,182.6532,0
Capsule (1),2.441621,14,19,0,182.6532,0
Capsule (2),0.6807533,19,17,1,182.6532,0
Capsule (5),0.4060701,21,19,1,182.6532,1
Capsule (6),0.1493756,15,21,0,182.6532,1
Capsule,0.2111098,17,18,0,182.6532,1
Capsule (4),1.57141,9,18,0,182.6532,1
57


Capsule (7),1.615015,11,18,0,162.867,0
Capsule (3),0.12346,11,20,0,162.867,0
Capsule (1),0.0170248,15,17,0,162.867,0
Capsule (2),0.002429,14,11,1,162.867,0
Capsule (5),0.7806448,16,17,0,162.867,1
Capsule (6),0.0500415,20,19,1,162.867,1
Capsule,0.2144187,23,11,2,162.867,1
Capsule (4),0.0047094,16,13,1,162.867,1
58


Capsule (7),0.1110509,13,21,0,185.7632,0
Capsule (3),1.041914,24,16,1,185.7632,0
Capsule (1),0.2176102,22,13,1,185.7632,0
Capsule (2),0.003295,12,23,0,185.7632,0
Capsule (5),0.1191354,17,21,0,185.7632,1
Capsule (6),0.8192803,26,17,1,185.7632,1
Capsule,3.627886,14,19,0,185.7632,1
Capsule (4),0.0088485,18,16,1,185.7632,1
59


Capsule (7),0.7923667,19,15,1,176.2184,0
Capsule (3),0.0027385,18,15,1,176.2184,0
Capsule (1),1.831744,17,19,0,176.2184,0
Capsule (2),0.0123986,21,20,1,176.2184,0
Capsule (5),0.4960951,20,20,1,176.2184,1
Capsule (6),6.085625,19,16,1,176.2184,1
Capsule,0.0028842,12,17,0,176.2184,1
Capsule (4),0.4831207,14,18,0,176.2184,1
60


Capsule (7),5.879329,12,15,0,168.3116,0
Capsule (3),3.437124,6,18,0,168.3116,0
Capsule (1),0.0133123,15,15,1,168.3116,0
Capsule (2),0.005669,19,16,1,168.3116,0
Capsule (5),1.368235,17,19,0,168.3116,1
Capsule (6),0.1025478,17,14,1,168.3116,1
Capsule,2.563803,23,19,1,168.3116,1
Capsule (4),0.2933427,18,11,1,168.3116,1
61


Capsule (7),0.0035908,14,16,0,184.1569,0
Capsule (3),0.0031103,15,19,0,184.1569,0
Capsule (1),1.035462,19,17,1,184.1569,0
Capsule (2),0.0031535,20,19,1,184.1569,0
Capsule (5),1.636232,7,19,0,184.1569,1
Capsule (6),1.280871,26,18,1,184.1569,1
Capsule,2.754546,16,16,1,184.1569,1
Capsule (4),0.2164468,26,19,1,184.1569,1
62


Capsule (7),0.026048,21,15,1,148.8014,0
Capsule (3),0.4141606,22,18,1,148.8014,0
Capsule (1),0.2180484,18,13,1,148.8014,0
Capsule (2),0.8675761,14,12,1,148.8014,0
Capsule (5),1.831864,10,16,0,148.8014,1
Capsule (6),1.686802,18,10,1,148.8014,1
Capsule,3.940306,7,18,0,148.8014,1
Capsule (4),0.0086422,8,16,0,148.8014,1
63


Capsule (7),0.0047925,18,21,0,196.3116,0
Capsule (3),1.47865,23,13,1,196.3116,0
Capsule (1),1.231832,18,17,1,196.3116,0
Capsule (2),0.0095591,16,20,0,196.3116,0
Capsule (5),1.033478,22,17,1,196.3116,1
Capsule (6),2.630913,16,16,1,196.3116,1
Capsule,0.0077644,14,22,0,196.3116,1
Capsule (4),2.670988,15,16,0,196.3116,1
64


Capsule (7),0.1130525,16,24,0,182.1912,0
Capsule (3),0.013482,21,21,1,182.1912,0
Capsule (1),0.0159832,20,15,1,182.1912,0
Capsule (2),0.0140958,18,21,0,182.1912,0
Capsule (5),0.9055162,23,20,1,182.1912,1
Capsule (6),0.0062133,20,20,1,182.1912,1
Capsule,1.01524,15,12,1,182.1912,1
Capsule (4),1.656363,16,16,1,182.1912,1
65


Capsule (7),0.0023259,19,19,1,196.0831,0
Capsule (3),0.0180628,17,16,1,196.0831,0
Capsule (1),2.234228,15,12,1,196.0831,0
Capsule (2),0.0630432,20,18,1,196.0831,0
Capsule (5),1.268238,24,18,1,196.0831,1
Capsule (6),0.2383687,19,18,1,196.0831,1
Capsule,0.2017211,12,24,0,196.0831,1
Capsule (4),1.303609,20,21,0,196.0831,1
66


Capsule (7),0.1395953,9,18,0,192.437,0
Capsule (3),0.0171388,23,16,1,192.437,0
