Player, Average Time to Encounter, Kills, Deaths, Current KD, Game RunTime
,,,,,
,,,,,
Capsule (6),1.07821,17,28,0,265.2906
Capsule (7),0.6769369,21,26,0,265.2906
Capsule,0.9802023,31,22,1,265.2906
Capsule (4),1.729713,23,22,1,265.2906
Capsule (2),0.0189758,17,27,0,265.2906
Capsule (3),0.301467,29,19,1,265.2906
Capsule (1),1.53311,23,28,0,265.2906
Capsule (5),2.951419,35,24,1,265.2906
61,,,,,
,,,,,
,,,,,
Capsule (6),1.44233,16,23,0,240.2507
Capsule (7),4.17273,18,20,0,240.2507
Capsule,0.6783144,35,18,1,240.2507
Capsule (4),2.22981,20,27,0,240.2507
Capsule (2),1.790018,20,20,1,240.2507
Capsule (3),0.0061268,21,22,0,240.2507
Capsule (1),0.2145338,24,23,1,240.2507
Capsule (5),0.0069622,23,24,0,240.2507
62,,,,,
,,,,,
,,,,,
Capsule (6),0.1108489,14,30,0,218.6563
Capsule (7),0.1506702,15,20,0,218.6563
Capsule,1.236558,18,26,0,218.6563
Capsule (4),0.0063845,35,13,2,218.6563
Capsule (2),3.024652,22,19,1,218.6563
Capsule (3),1.458536,12,20,0,218.6563
Capsule (1),0.7037987,24,20,1,218.6563
Capsule (5),0.481301,30,22,1,218.6563
63,,,,,
,,,,,
,,,,,
Capsule (6),0.00561,24,27,0,290.3741
Capsule (7),0.673379,23,22,1,290.3741
Capsule,0.5367112,21,26,0,290.3741
Capsule (4),0.4678091,24,28,0,290.3741
Capsule (2),4.959993,35,29,1,290.3741
Capsule (3),0.0701714,34,27,1,290.3741
Capsule (1),2.589676,22,30,0,290.3741
Capsule (5),0.0091306,31,25,1,290.3741
64,,,,,
,,,,,
,,,,,
Capsule (6),0.1720841,24,29,0,299.9571
Capsule (7),0.1846001,23,33,0,299.9571
Capsule,0.9377803,27,24,1,299.9571
Capsule (4),1.351544,29,28,1,299.9571
Capsule (2),0.2164546,34,27,1,299.9571
Capsule (3),0.2295095,28,30,0,299.9571
Capsule (1),1.224971,33,23,1,299.9571
Capsule (5),0.0066398,23,27,0,299.9571
65,,,,,
,,,,,
,,,,,
Capsule (6),0.0186776,31,25,1,279.3939
Capsule (7),1.381932,17,24,0,279.3939
Capsule,0.0235423,22,21,1,279.3939
Capsule (4),4.056601,35,28,1,279.3939
Capsule (2),2.993552,28,28,1,279.3939
Capsule (3),2.547646,26,31,0,279.3939
Capsule (1),1.14908,25,27,0,279.3939
Capsule (5),1.468328,28,28,1,279.3939
66,,,,,
,,,,,
,,,,,
Capsule (6),1.668354,26,27,0,275.0912
Capsule (7),3.463665,27,24,1,275.0912
Capsule,0.6235316,30,22,1,275.0912
Capsule (4),0.0079814,35,27,1,275.0912
Capsule (2),0.0075259,29,32,0,275.0912
Capsule (3),1.896509,26,27,0,275.0912
Capsule (1),0.7156119,20,27,0,275.0912
Capsule (5),2.23145,21,28,0,275.0912
67,,,,,
,,,,,
,,,,,
Capsule (6),0.4067513,34,25,1,270.6273
Capsule (7),0.0060222,23,27,0,270.6273
Capsule,0.0067631,23,31,0,270.6273
